	PF01176	PF01253	PF01818	PF04760	PF05456	PF05470	PF07541	PF08597	PF00707	PF05198	PF00270	PF00838	PF01479	PF01765	PF01912	PF02020	PF03144	PF03463	PF03464	PF03465	PF08662	PF09440	PF11987	PF12152	PF12353	PF01665	PF10075	PF16543	PF04189	PF05091	PF05476	PF00658	PF00806	PF01172	PF01472	PF01981	PF01985	PF03367	PF04221	PF04352	PF05368	PF07042	PF08048	PF08364	PF08406	PF09072	PF10122	PF10477	PF10931	PF01902	PF03109	PF05773	PF12745	PF12807	PF14877	PF01922	PF04086	PF16544	PF04839	PF02686	PF00594	PF01179	PF01391	PF01648	PF01819	PF01866	PF01871	PF01916	PF02336	PF02454	PF02623	PF02630	PF02675	PF02727	PF02728	PF03068	PF03084	PF03133	PF03152	PF03399	PF03781	PF03855	PF04050	PF04179	PF04266	PF04376	PF04377	PF04386	PF04540	PF04604	PF05090	PF05279	PF05295	PF05408	PF05628	PF05741	PF05783	PF05817	PF05931	PF06218	PF06233	PF06423	PF06728	PF06747	PF06859	PF06894	PF07812	PF07961	PF08050	PF08051	PF08052	PF08054	PF08077	PF08132	PF08247	PF08336	PF08679	PF08694	PF08695	PF08777	PF08845	PF08915	PF09512	PF09635	PF09802	PF09907	PF10463	PF10472	PF10488	PF10550	PF10567	PF11214	PF11493	PF11986	PF12124	PF12243	PF12343	PF12350	PF12559	PF12602	PF12703	PF12998	PF13694	PF13908	PF13955	PF14327	PF14881	PF00368	PF00646	PF04327	PF04950	PF05147	PF06769	PF07065	PF10044	PF10960	PF12862	PF13013	PF14772	PF14775	PF15010	PF15320	PF15711	PF15819	PF15895	PF16174	PF16608	PF16832	PF16833	PF16934	PF16950	PF17052
05ca4daef824b326eaa28b13be26d659	1	1	0	1	0	0	0	0	1	1	14	0	6	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06d0683312ae4f2a2fc7e6354f9d96bb	1	1	0	1	0	0	0	0	1	1	7	0	5	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07145f355edaeded238eb530588811c8	1	0	0	2	0	0	0	0	1	1	12	0	8	1	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09427fb54d283700eec2cb3f92d6ead2	1	0	0	0	0	0	1	0	0	0	8	0	1	0	1	0	4	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	1	1	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09504ddbd10a61d41c30ab90cf4add6f	1	0	0	2	0	0	0	0	1	1	11	0	8	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e54f54b9cf17d2742dd997f608ea0f6	1	0	0	2	0	0	0	0	1	1	7	0	4	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fb4dae01250d6b2718debd5bd2a5f68	1	1	0	1	0	0	0	0	1	1	12	0	4	1	0	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
10ad914717d5d653603d41af516fe04b	1	0	0	2	0	0	0	0	1	1	9	0	5	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114e144cbba7544344366e445631f555	1	0	0	2	0	0	0	0	1	1	6	0	8	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1177de37e91dd57ab27cccfed2fa3ede	1	0	0	2	0	0	0	0	1	1	13	0	4	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
