	PF00005	PF00664	PF08402	PF04069	PF03412	PF08352	PF09383	PF01297	PF12698	PF12974	PF01061	PF03459	PF06422	PF06472	PF13748	PF01578	PF03169	PF04392	PF05975	PF05992	PF08370	PF09821	PF10649	PF11545	PF12558	PF12704	PF12857	PF13346	PF13732	PF14510	PF14524	PF00488	PF00529	PF01970	PF02588	PF03109	PF03401	PF03886	PF06182	PF06541	PF09847	PF09991	PF12399	PF12679	PF12730	PF12848	PF16185	PF16296	PF16326	PF16576	PF09515	PF10439	PF11495	PF12790	PF01978	PF04777	PF16572
05ca4daef824b326eaa28b13be26d659	43	2	1	1	0	2	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	4	0	0	1	4	0	0	0	0	0	0	0
06d0683312ae4f2a2fc7e6354f9d96bb	27	5	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	2	3	3	0	0	1	5	0	0	0	0	0	0	0
07145f355edaeded238eb530588811c8	88	16	2	5	0	2	2	3	5	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	1	8	0	1	1	0	0	3	0	0	5	0	0	0	0	1	0	0	1	3	4	6	0	0	2	2	1	0	0	0	3	0	0
09427fb54d283700eec2cb3f92d6ead2	25	1	2	0	0	0	1	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
09504ddbd10a61d41c30ab90cf4add6f	55	10	3	1	1	6	0	1	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	2	3	1	0	0	0	5	0	0	0	0	2	0	0
0e54f54b9cf17d2742dd997f608ea0f6	28	5	0	0	0	0	0	1	5	1	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	5	3	1	0	0	1	10	0	0	0	0	1	0	0
0fb4dae01250d6b2718debd5bd2a5f68	35	5	1	0	0	0	0	3	7	1	5	0	0	0	0	4	2	1	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	1	1	0	1	1	0	0	0	0	0	5	4	2	0	0	1	16	0	0	2	0	2	0	0
10ad914717d5d653603d41af516fe04b	70	5	2	3	0	2	1	1	1	5	3	2	0	0	0	3	0	4	0	0	0	0	0	0	0	4	0	0	0	0	2	2	1	0	2	1	0	1	0	0	0	0	6	0	0	3	0	0	1	11	0	0	0	0	0	0	0
114e144cbba7544344366e445631f555	76	13	1	0	0	18	1	1	5	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	2	2	1	1	0	1	0	6	0	0	1	1	2	2	0	0	2	0	1	2	0	0	0	1	0	0
1177de37e91dd57ab27cccfed2fa3ede	61	7	1	5	0	4	0	3	3	4	4	1	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0
11995f4a2844e5890843c8db2d9a0be4	37	4	0	0	0	2	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	2	2	4	0	0	2	3	0	0	0	0	2	0	0
