	PF04127	PF00392	PF07840	PF01053	PF05861	PF06007	PF06754	PF05845	PF00270	PF00295	PF01124	PF01172	PF01925	PF01951	PF02450	PF04991	PF05239	PF05406	PF07521	PF08223	PF08866	PF09377	PF12678	PF13840	PF01055	PF01687	PF02599	PF02657	PF03006	PF03551	PF04117	PF05257	PF07848	PF12897	PF16657	PF01603	PF01941	PF02463	PF02602	PF03370	PF03390	PF03749	PF03971	PF04358	PF04667	PF04691	PF04711	PF04775	PF05309	PF05778	PF06377	PF06398	PF06446	PF06475	PF06959	PF07464	PF07574	PF07858	PF08335	PF08495	PF09170	PF09472	PF09508	PF09512	PF09984	PF10283	PF10414	PF10442	PF11262	PF11955	PF12513	PF12573	PF12741	PF12873	PF14051	PF14464	PF14721	PF00885	PF01074	PF01791	PF01862	PF02643	PF02645	PF02661	PF03976	PF04043	PF05153	PF05770	PF06153	PF06267	PF06755	PF07501	PF07748	PF08714	PF08882	PF08975	PF09055	PF10590	PF13201	PF13790	PF16116	PF16155	PF16983
Fibrobacter succinogenes subsp. succinogenes S85	1	4	0	7	0	0	0	0	14	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Porphyromonas asaccharolytica DSM 20707	1	1	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Carnobacterium divergens DSM 20623	1	12	0	8	0	0	0	0	12	0	0	0	1	0	0	0	1	0	2	0	1	0	0	2	1	1	0	0	1	5	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Methanomicrobium mobile BP	1	0	0	1	0	0	0	0	8	0	0	1	0	1	0	0	2	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	1	14	0	7	0	0	0	0	11	1	0	0	3	0	0	0	2	0	1	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ignavibacterium album JCM 16511	1	0	0	9	0	0	0	0	7	0	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
Caldithrix abyssi DSM 13497	1	1	0	11	0	0	0	0	12	0	0	0	4	1	0	0	1	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	2	0	0	6	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2
Desulfonatronum lacustre DSM 10312	1	4	0	1	0	0	0	0	9	0	0	0	3	0	0	0	4	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dictyoglomus thermophilum H-6-12	0	3	0	7	0	0	0	0	6	1	0	0	0	1	0	0	1	0	3	0	0	0	0	1	3	1	0	0	0	2	0	0	0	1	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Yaniella halotolerans DSM 15476	1	12	0	5	0	0	0	0	13	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leptospira interrogans serovar Icterohaemorrhagiae str. RGA	1	0	0	7	0	0	0	0	11	0	1	0	0	0	2	0	1	7	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Desulfarculus baarsii DSM 2075	1	4	1	5	0	0	0	0	8	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus luteus NCTC 2665	1	6	0	7	0	0	0	0	12	0	0	0	4	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidothermus cellulolyticus 11B	1	6	0	4	0	0	0	0	7	0	0	0	2	0	0	0	3	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	1	26	1	7	1	1	1	1	14	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	1	1	1	2	1	1	0	1	1	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0
Draconibacterium orientale	1	6	1	6	0	0	0	0	16	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	4	0	1	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Phycisphaera mikurensis NBRC 102666	1	11	0	3	0	0	0	0	12	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	1	1	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Beijerinckia indica subsp. indica ATCC 9039	1	6	0	7	0	0	0	0	11	0	2	0	4	0	0	0	4	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Patulibacter minatonensis DSM 18081	1	12	0	3	0	0	0	0	14	0	0	0	5	0	0	0	3	0	1	0	0	0	0	2	1	1	1	0	1	5	0	2	0	4	2	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Sulfolobus acidocaldarius DSM 639	1	2	0	4	0	0	0	0	11	0	0	1	3	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	2	0	0	1	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	1	7	0	7	0	0	0	0	8	0	0	0	1	0	0	0	1	0	2	0	1	0	0	2	1	1	0	0	1	2	0	1	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas haloplanktis ATCC 14393	1	12	1	8	0	0	0	0	21	1	2	0	6	0	1	0	1	0	1	0	0	0	0	2	0	1	1	1	1	0	0	0	0	2	0	0	0	4	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cellulomonas flavigena DSM 20109	1	12	0	9	0	0	0	0	16	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	1	1	0	0	2	7	0	1	3	1	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
Salinisphaera shabanensis E1L3A	2	8	0	7	0	0	0	0	14	0	2	0	7	0	0	0	2	0	0	1	0	0	0	2	0	1	1	1	1	1	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Moritella marina ATCC 15381	1	12	1	10	0	0	0	0	21	0	1	0	6	0	0	0	1	0	2	0	0	0	0	2	0	1	1	1	1	0	0	0	0	2	0	0	0	4	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Geodermatophilus obscurus DSM 43160	1	19	0	7	0	0	0	0	14	0	0	0	6	0	1	0	6	0	1	0	0	0	0	1	0	1	1	0	1	5	0	0	0	1	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	2	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
Methanopyrus kandleri AV19	1	1	0	1	0	0	0	0	6	0	0	1	2	1	0	0	3	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Erysipelothrix rhusiopathiae ATCC 19414	2	10	0	5	0	0	0	0	9	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	1	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0
Catenulispora acidiphila DSM 44928	1	47	0	13	0	0	0	0	12	4	0	0	3	0	0	0	4	1	1	3	0	0	0	2	4	1	0	0	1	17	0	2	3	3	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	2	0	0	1	3	2	0	0	0	0	0	0	1	5	0	0	0	1	1	0	0	0	0	0
Chrysiogenes arsenatis DSM 11915	1	3	0	5	0	0	0	0	8	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporichthya polymorpha DSM 43042	1	16	0	8	0	0	0	0	11	0	0	0	4	0	0	0	5	0	1	2	0	0	0	1	0	1	1	0	1	6	0	0	2	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	5	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
Leptotrichia buccalis C-1013-b	1	5	0	5	0	0	0	0	10	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	1	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexus aurantiacus J-10-fl	1	5	0	11	1	1	1	1	10	0	0	0	2	0	1	0	1	0	1	0	0	0	0	1	2	1	0	1	1	1	0	0	0	2	4	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	1	2	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Aurantimonas coralicida DSM 14790	1	32	0	7	1	1	1	1	10	0	1	0	7	0	0	0	8	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0
Desulfovibrio desulfuricans subsp. desulfuricans DSM 642	1	6	0	5	0	0	0	0	8	0	0	0	13	0	0	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicoprobacter oshimai DSM 21659	1	10	0	12	0	0	0	0	9	1	0	0	2	0	0	1	6	0	3	0	0	0	0	3	3	1	1	0	0	1	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	0
Acidimicrobium ferrooxidans DSM 10331	1	5	0	2	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	2	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Enterococcus faecalis ATCC 19433	2	18	0	6	0	0	0	0	13	0	0	0	1	0	0	1	1	0	2	0	1	0	0	1	0	1	0	0	1	2	0	2	0	1	1	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	4	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis NCTC 9343	1	4	0	9	0	0	0	0	13	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	4	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	1	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0
Nitriliruptor alkaliphilus DSM 45188	1	21	1	7	0	0	0	0	14	0	0	0	3	0	2	0	1	0	1	5	0	0	0	1	1	1	1	0	3	1	0	0	6	3	1	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	1	3	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	0
Acidobacterium capsulatum ATCC 51196	2	7	0	9	0	0	0	0	9	4	0	0	5	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	16	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella melaninogenica ATCC 25845	1	1	0	7	0	0	0	0	10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
